cml_id,sublink_id,device_name,site_0_lat,site_0_lon,site_0_elevation,site_0_altitude,site_1_lat,site_1_lon,site_1_elevation,site_1_altitude,frequency,frequency_units,length,polarization,tsl,rsl
81,sublink_1,nycmesh-1340-north2 ↔ nycmesh-lbe-254,40.685988,-73.917573,,12.93,40.696,-73.9398,23.0,5.0,5745.0,MHz,2210.0,ap-ptmp-airmax-mixed,-44.0,-61.0
81,sublink_2,nycmesh-1340-north2 ↔ nycmesh-lbe-254,40.685988,-73.917573,,12.93,40.696038,-73.939764,23.0,5.0,5745.0,MHz,2210.0,ap-ptmp-airmax-mixed,-44.0,-52.0
82,sublink_1,nycmesh-227-ps5ac-north2 ↔ nycmesh-lbelr-3,40.711166,-74.001244,,161.544,40.72487,-73.987851,,-32.0,5710.0,MHz,1916.0,ap-ptmp-airmax-mixed,-68.0,-75.0
83,sublink_1,nycmesh-3461-southeast ↔ nycmesh-lbelr-228,40.672531,-73.964197,,60.95,40.6608,-73.9604,,18.0,5710.0,MHz,1344.0,ap-ptmp-airmax-mixed,-69.0,-67.0
84,sublink_1,nycmesh-2274-northwest ↔ nycmesh-lbe-4116,40.72579,-73.98355,,8.0,40.72847,-73.9831,7.0,8.0,5710.0,MHz,300.40530616691007,ap-ptmp-airmax-mixed,-56.0,-58.0
85,sublink_1,nycmesh-5916-east1 ↔ nycmesh-lbelr-265,40.69607,-73.939677,,67.46,40.705347,-73.930856,,24.0,5710.0,MHz,1265.0,ap-ptmp-airmax-mixed,-64.0,-64.0
86,sublink_1,nycmesh-3461-southeast ↔ nycmesh-lbe-6491,40.672531,-73.964197,,60.95,40.672047,-73.955369,,5.0,5710.0,MHz,746.4586443271326,ap-ptmp-airmax-mixed,-69.0,-70.0
87,sublink_1,nycmesh-5916-west1 ↔ nycmesh-lbelr2-854,40.696017,-73.939873,,67.46,40.711568,-73.946966,,10.0,5710.0,MHz,1830.0,ap-ptmp-airmax-mixed,-76.0,-69.0
88,sublink_1,nycmesh-5916-east1 ↔ nycmesh-lbe-875,40.69607,-73.939677,,67.46,40.672531,-73.9641974,,5.0,5710.0,MHz,3327.0,ap-ptmp-airmax-mixed,-58.0,-56.0
89,sublink_1,nycmesh-1340-west1 ↔ nycmesh-lbe2-944,40.686117,-73.917818,,12.93,40.680283,-73.954819,,8.0,5710.0,MHz,3225.0,ap-ptmp-airmax-mixed,-69.0,-84.0
90,sublink_1,nycmesh-3461-southeast ↔ nycmesh-lbe-4517,40.672531,-73.964197,,60.95,40.667133,-73.946808,,5.0,5710.0,MHz,1584.6448261900457,ap-ptmp-airmax-mixed,-74.0,-73.0
91,sublink_1,nycmesh-7800-south ↔ nycmesh-lbe-688,40.815324,-73.950354,,10.0,40.8156,-73.9502,35.0,5.0,5710.0,MHz,33.31395565183301,ap-ptmp-airmax-mixed,-63.0,-68.0
91,sublink_2,nycmesh-7800-south ↔ nycmesh-lbe-688,40.815324,-73.950354,,10.0,40.8156286,-73.9502282,35.0,5.0,5710.0,MHz,35.48593707737955,ap-ptmp-airmax-mixed,-61.0,-64.0
91,sublink_3,nycmesh-7800-south ↔ nycmesh-lbe-688,40.815336,-73.950302,,10.0,40.8156286,-73.9502282,35.0,5.0,5520.0,MHz,33.12308925991758,ap-ptmp-airmax-ac,-59.0,-61.0
91,sublink_4,nycmesh-7800-south ↔ nycmesh-lbe-688,40.815336,-73.950302,,10.0,40.8156,-73.9502,35.0,5.0,5520.0,MHz,30.584698752000016,ap-ptmp-airmax-ac,-55.0,-56.0
92,sublink_1,nycmesh-3461-southeast ↔ nycmesh-lbelr-4507,40.672531,-73.964197,,60.95,40.6555,-73.9592,,10.0,5710.0,MHz,1944.0,ap-ptmp-airmax-mixed,-66.0,-68.0
93,sublink_1,nycmesh-2274-northwest ↔ nycmesh-lbe-3016,40.72579,-73.98355,,8.0,40.724676,-73.98073,6.0,8.0,5710.0,MHz,266.0,ap-ptmp-airmax-mixed,-48.0,-54.0
94,sublink_1,nycmesh-3461-southeast ↔ nycmesh-lbe-649,40.672531,-73.964197,,60.95,40.6602,-73.9401,,10.0,5710.0,MHz,2456.0,ap-ptmp-airmax-mixed,-71.0,-75.0
95,sublink_1,nycmesh-lbelr-632 ↔ nycmesh-5712-northeast,40.7346,-73.9505,6.0,37.0,40.736767,-73.954633,6.0,10.0,5570.0,MHz,423.466894168036,sta-ptmp,-58.0,-58.0
96,sublink_1,nycmesh-lbe-155 ↔ nycmesh-1340-west,40.679873,-73.942457,18.0,10.0,40.686016,-73.917493,,53.3,5570.0,MHz,2213.0746663669634,sta-ptmp,-68.0,-68.0
97,sublink_1,nycmesh-3461-northeast ↔ nycmesh-lbelr-219,40.672685,-73.96386,,60.95,40.696,-73.9398,,10.0,5560.0,MHz,2027.0,ap-ptmp-airmax-mixed,-68.0,-66.0
97,sublink_2,nycmesh-3461-northeast ↔ nycmesh-lbelr-219,40.672685,-73.96386,,60.95,40.696038,-73.939764,23.0,5.0,5560.0,MHz,3327.0,ap-ptmp-airmax-mixed,-69.0,-68.0
97,sublink_3,nycmesh-3461-northeast ↔ nycmesh-lbelr-219,40.672685,-73.96386,,60.95,40.696038,-73.939764,23.0,5.0,5510.0,MHz,3327.0,ap-ptmp,-67.0,-73.0
98,sublink_1,nycmesh-sn3-north ↔ nycmesh-nbe-5420,40.6579,-74.0049,,45.32,40.65964,-73.99854,5.0,5.0,5560.0,MHz,570.3064047954518,ap-ptmp-airmax-mixed,,
99,sublink_1,nycmesh-1933-east-s2 ↔ nycmesh-lbe-2741,40.715467,-73.984401,,97.0,40.718978,-73.958505,,8.0,5560.0,MHz,2217.1292980349895,ap-ptmp-airmax-mixed,-66.0,-65.0
100,sublink_1,nycmesh-3461-northeast ↔ nycmesh-lbe-476,40.672685,-73.96386,,60.95,40.6725,-73.9642,,5.0,5560.0,MHz,35.28977579122606,ap-ptmp-airmax-mixed,-57.0,-55.0
100,sublink_2,nycmesh-3461-northeast ↔ nycmesh-lbe-476,40.672685,-73.96386,,60.95,40.6725,-73.9642,,5.0,5510.0,MHz,35.28977579122606,ap-ptmp,-67.0,-64.0
100,sublink_3,nycmesh-3461-northeast ↔ nycmesh-lbe-476,40.672685,-73.96386,,60.95,40.672531,-73.9641974,,5.0,5560.0,MHz,33.210007652982235,ap-ptmp-airmax-mixed,-63.0,-64.0
100,sublink_4,nycmesh-3461-northeast ↔ nycmesh-lbe-476,40.672685,-73.96386,,60.95,40.672531,-73.9641974,,5.0,5510.0,MHz,33.210007652982235,ap-ptmp,-67.0,-68.0
101,sublink_1,nycmesh-1933-east-s2 ↔ nycmesh-lbelr-168,40.715467,-73.984401,,97.0,40.709792,-73.958118,,10.0,5560.0,MHz,2307.0,ap-ptmp-airmax-mixed,-67.0,-64.0
102,sublink_1,nycmesh-1971-southwest ↔ nycmesh-lbe-1329,40.712811,-73.994744,10.0,30.0,40.711759,-73.99498,10.0,8.0,5560.0,MHz,585.0,ap-ptmp-airmax-ac,-68.0,-68.0
103,sublink_1,nycmesh-664-south ↔ nycmesh-lbe-704,40.705619,-73.915235,,8.0,40.709868,-73.911179,22.0,8.0,5560.0,MHz,583.1893916715709,ap-ptmp-airmax-ac,-62.0,-65.0
104,sublink_1,nycmesh-7800-north ↔ nycmesh-lbe-843,40.815412,-73.950239,,10.0,40.8156,-73.9502,35.0,5.0,5560.0,MHz,21.160715593358052,ap-ptmp-airmax-mixed,-59.0,-62.0
105,sublink_1,nycmesh-7800-north ↔ nycmesh-pbe-898,40.815412,-73.950239,,10.0,40.830454,-73.941171,41.0,10.0,5560.0,MHz,1816.0,ap-ptmp-airmax-mixed,-64.0,-67.0
106,sublink_1,nycmesh-2090-lbe-2463 ↔ nycmesh-2463-lbe-2090,40.725618,-73.954074,,8.0,40.719898,-73.988024,11.0,8.0,5560.0,MHz,2930.876268069924,sta-ptp,-61.0,-60.0
107,sublink_1,nycmesh-1932-west-s6 ↔ nycmesh-lbe-544,40.716098,-73.985997,14.0,100.32,40.718504,-73.995954,,25.0,5560.0,MHz,881.0,ap-ptmp-airmax-mixed,-60.0,-57.0
108,sublink_1,nycmesh-835-northwest ↔ nycmesh-lbe-7537,40.685214,-73.954595,,10.0,40.683061,-73.961386,,5.0,5560.0,MHz,1626.0,ap-ptmp-airmax-mixed,-71.0,-72.0
109,sublink_1,nycmesh-5916-south2 ↔ nycmesh-lbe-7325,40.696048,-73.939788,,67.46,40.689,-73.952,23.0,5.0,5550.0,MHz,1310.0,ap-ptmp-airmax-mixed,-63.0,-56.0
110,sublink_1,nycmesh-648-north ↔ nycmesh-lbe-851,40.639504,-73.996299,,25.0,40.644198,-73.994055,,5.0,5550.0,MHz,555.2285882624063,ap-ptmp-airmax-mixed,-58.0,-58.0
111,sublink_1,nycmesh-228-east ↔ nycmesh-619-lbe,40.66076,-73.96032,,12.45,40.6599,-73.95808,,5.0,5550.0,MHz,1344.0,ap-ptmp-airmax-mixed,-48.0,-49.0
112,sublink_1,nycmesh-5916-south2 ↔ nycmesh-lbe-1350,40.696048,-73.939788,,67.46,40.687437,-73.947464,,30.0,5550.0,MHz,1156.0,ap-ptmp-airmax-mixed,-62.0,-56.0
